snake variable | description | sample value
ang | snake movement direction in radian angles | 3.80427235395639
antenna | snake has antenna attachment | false
bb | unknown | 88
cfl | unknown | 2.200983084710446
chl | unknown | 0.2513932980841713
cs | unknown | "#4cc558"
cs04 | unknown | "#1e4f23"
csw | unknown | "#a6e2ac"
cv | unknown | 25
dead_amt | unknown | 0
dir | unknown | 2
eang | unknown | -2.45977989936525
ebi | unknown | canvas
ebih | unknown | 64
ebisz | unknown | 29
ebiw | unknown | 64
ec | unknown | "#ffffff"
eca | unknown | 0.75
edir | unknown | 0
ehang | unknown | -2.4069983290795416
ehl | unknown | 0
epi | unknown | canvas
epih | unknown | 48
episz | unknown | 14
epiw | unknown | 48
er | unknown | 6
fa | unknown | -1.067937970161438
fam | unknown | 0.9483512609214342
fapos | unknown | 13
fas | unknown | Float32Array[26]
fatg | unknown | 26
fchl | unknown | -19.11222267150879
fchls | unknown | Float32Array[43]
fl | unknown | -0.7409875988960266
flpos | unknown | 80
fls | unknown | Float32Array[128]
fltg | unknown | 128
fnfr | unknown | 16
fpos | unknown | 37
fsp | unknown | 5.89
ftg | unknown | 43
fx | unknown | 465.51165771484375
fxs | unknown | Float32Array[43]
fy | unknown | 128.0072784423828
fys | unknown | Float32Array[43]
gg | unknown | 197
id | unknown | 12010
iiv | unknown | true
lnp | unknown | Object
md | unknown | false
msl | unknown | 42
msp | unknown | 14
na | unknown | 1
nk | unknown | "Joe the A* bot"
one_eye | unknown | true
pma | unknown | 4
ppa | unknown | 1
ppc | unknown | "#000000"
pr | unknown | 3.5
pts | unknown | Array[74]
rbcs | unknown | Array[1]
rcv | unknown | 27
rex | unknown | -3.105726378330564
rey | unknown | -2.520806153384611
rr | unknown | 76
sc | unknown | 1
scang | unknown | 1
sct | unknown | 2
sep | unknown | 6
sfr | unknown | 0
sp | unknown | 5.777777777777778
spang | unknown | 1
ssp | unknown | 5.79
swell | unknown | 0.06
tl | unknown | 2.9483512609214344
tsp | unknown | 5.777777777777778
wang | unknown | 3.80427235395639
wehang | unknown | -2.4069983290795416
wmd | unknown | false
wsep | unknown | 6
xx | unknown | 28126.676229644094
yy | unknown | 25778.50406585705